City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Muana,BR,-1.5283,-49.2167,304.88,53,38,2.41,scattered clouds
1,Punta Arenas,CL,-53.15,-70.9167,277.21,75,75,3.09,broken clouds
2,Kwinana,AU,-32.25,115.7667,285.5,78,89,0.55,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,294.75,63,84,9.45,broken clouds
4,Mahebourg,MU,-20.4081,57.7,294.96,65,3,6.42,clear sky
5,Ushuaia,AR,-54.8,-68.3,277.96,81,75,6.17,broken clouds
6,Trapani,IT,37.8333,12.6667,305.53,51,20,6.17,few clouds
7,Yumen,CN,40.2833,97.2,298.69,37,100,5.61,overcast clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,285.16,70,40,4.63,scattered clouds
9,Saint-Pierre,RE,-21.3393,55.4781,293.97,75,75,2.06,broken clouds
10,Barrow,US,71.2906,-156.7887,283.32,87,76,2.4,broken clouds
11,Kruisfontein,ZA,-34.0033,24.7314,286.55,84,65,5.31,broken clouds
12,Port Hardy,CA,50.6996,-127.4199,286.54,85,15,1.55,few clouds
13,Bluff,NZ,-46.6,168.3333,283.23,87,90,5.07,overcast clouds
14,Nova Vicosa,BR,-17.8919,-39.3719,300.14,59,86,4.92,overcast clouds
15,Saint-Augustin,CA,51.226,-58.6502,292.88,76,100,2.69,overcast clouds
16,Angoche,MZ,-16.2325,39.9086,296.31,76,1,4.03,clear sky
17,Hobart,AU,-42.8794,147.3294,281.63,93,100,3.09,overcast clouds
18,Tiksi,RU,71.6872,128.8694,277.19,98,74,1.17,broken clouds
19,Geraldton,AU,-28.7667,114.6,281.38,93,44,4.63,scattered clouds
20,Bang Saphan,TH,11.2126,99.5117,299.24,84,100,2.97,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,288.6,75,21,4.39,few clouds
22,Staryy Nadym,RU,65.6118,72.6842,290.92,57,81,1.58,broken clouds
23,Markova,UA,48.6758,24.4138,300.49,46,4,2.17,clear sky
24,Kununurra,AU,-15.7667,128.7333,295.14,78,28,1.54,scattered clouds
25,Thompson,CA,55.7435,-97.8558,286.24,100,100,3.6,overcast clouds
26,Yellowknife,CA,62.456,-114.3525,290.44,51,75,3.6,broken clouds
27,Waddan,LY,29.1614,16.139,310.1,19,0,3.78,clear sky
28,Busselton,AU,-33.65,115.3333,284.51,77,97,0.57,overcast clouds
29,Neiafu,TO,-18.65,-173.9833,298.53,88,75,2.57,broken clouds
30,Egvekinot,RU,66.3167,-179.1667,274.71,86,16,3.24,few clouds
31,Lebu,CL,-37.6167,-73.65,284.27,95,100,2.35,overcast clouds
32,Mae Ramat,TH,16.984,98.5166,299.15,99,100,1.24,light rain
33,San Francisco,US,37.7749,-122.4194,294.73,81,75,3.6,broken clouds
34,San Cristobal,VE,7.7669,-72.225,300.25,51,100,2.99,overcast clouds
35,Upernavik,GL,72.7868,-56.1549,279.11,92,100,3.41,overcast clouds
