City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-08-02 16:21:42,42.6001,-73.9662,83.95,84,38,8.5
1,Kifri,IQ,2022-08-02 16:21:42,34.6959,44.9661,108.82,8,0,5.35
2,Hobart,AU,2022-08-02 16:20:18,-42.8794,147.3294,56.26,65,40,10.36
3,Kundiawa,PG,2022-08-02 16:21:42,-6.0167,144.9667,59.49,97,99,2.73
4,Upernavik,GL,2022-08-02 16:21:43,72.7868,-56.1549,45.7,74,82,11.23
5,Punta Arenas,CL,2022-08-02 16:16:48,-53.15,-70.9167,44.71,76,75,10.36
6,Romny,UA,2022-08-02 16:21:43,50.751,33.4747,73.31,77,100,5.21
7,Thun,CH,2022-08-02 16:21:43,46.7512,7.6217,87.82,32,58,5.01
8,Qaanaaq,GL,2022-08-02 16:21:43,77.484,-69.3632,45.57,57,90,2.73
9,Busselton,AU,2022-08-02 16:21:44,-33.65,115.3333,51.31,70,94,28.36
10,Port Elizabeth,ZA,2022-08-02 16:21:44,-33.918,25.5701,61.32,76,0,2.3
11,Kununurra,AU,2022-08-02 16:19:45,-15.7667,128.7333,62.58,82,91,0.0
12,Lusaka,ZM,2022-08-02 16:17:10,-15.4067,28.2871,64.13,50,1,10.13
13,Borogontsy,RU,2022-08-02 16:21:44,62.6683,131.1683,62.6,99,100,1.77
14,Shakawe,BW,2022-08-02 16:21:45,-18.3667,21.85,78.22,23,6,5.79
15,Brae,GB,2022-08-02 16:21:45,60.3964,-1.353,58.35,93,100,24.63
16,Carnarvon,AU,2022-08-02 16:21:45,-24.8667,113.6333,66.52,65,95,19.06
17,Castro,BR,2022-08-02 16:21:45,-24.7911,-50.0119,76.35,34,0,3.2
18,Butaritari,KI,2022-08-02 16:21:46,3.0707,172.7902,81.37,75,96,18.77
19,Ushuaia,AR,2022-08-02 16:21:46,-54.8,-68.3,42.46,81,75,4.61
20,Porto Novo,BJ,2022-08-02 16:21:46,6.4965,2.6036,76.82,64,92,9.91
21,Cidreira,BR,2022-08-02 16:21:47,-30.1811,-50.2056,63.61,72,24,7.74
22,Ostrovnoy,RU,2022-08-02 16:21:47,68.0531,39.5131,64.4,70,23,13.33
23,Shumskiy,RU,2022-08-02 16:21:47,54.8318,99.1328,60.26,96,100,3.09
24,Bredasdorp,ZA,2022-08-02 16:17:16,-34.5322,20.0403,52.81,80,10,4.34
25,Georgetown,MY,2022-08-02 16:21:07,5.4112,100.3354,81.95,94,40,4.61
26,Hermanus,ZA,2022-08-02 16:21:48,-34.4187,19.2345,58.8,77,11,4.29
27,Saint-Philippe,RE,2022-08-02 16:21:48,-21.3585,55.7679,71.19,79,48,8.3
28,Burglengenfeld,DE,2022-08-02 16:21:48,49.2056,12.0414,84.92,34,20,4.61
29,Samarai,PG,2022-08-02 16:21:49,-10.6167,150.6667,80.1,84,41,15.82
30,Jamestown,US,2022-08-02 16:18:09,42.097,-79.2353,76.51,57,75,14.97
31,Necochea,AR,2022-08-02 16:21:49,-38.5473,-58.7368,59.14,59,100,8.39
32,Bethel,US,2022-08-02 16:19:06,41.3712,-73.414,87.46,67,75,1.99
33,Hilo,US,2022-08-02 16:21:49,19.7297,-155.09,71.28,88,75,5.75
34,Kapaa,US,2022-08-02 16:21:49,22.0752,-159.319,77.32,84,40,17.27
35,Saint George,US,2022-08-02 16:21:50,37.1041,-113.5841,89.44,45,0,1.01
36,Arraial Do Cabo,BR,2022-08-02 16:21:50,-22.9661,-42.0278,78.76,69,20,9.22
37,Aswan,EG,2022-08-02 16:21:50,24.0934,32.907,103.1,13,77,12.71
38,Kodiak,US,2022-08-02 16:21:51,57.79,-152.4072,58.51,58,0,12.66
39,Lebowakgomo,ZA,2022-08-02 16:21:51,-24.2,29.5,56.3,71,48,8.03
40,Valdivia,CL,2022-08-02 16:20:56,-39.8142,-73.2459,37.49,68,11,2.01
41,East London,ZA,2022-08-02 16:21:49,-33.0153,27.9116,59.94,88,0,3.44
42,Severobaykalsk,RU,2022-08-02 16:21:51,55.65,109.3167,57.11,90,97,8.19
43,Rikitea,PF,2022-08-02 16:21:52,-23.1203,-134.9692,72.77,73,91,20.45
44,Ribeira Grande,PT,2022-08-02 16:21:52,38.5167,-28.7,77.4,78,40,11.5
45,Sovetskiy,RU,2022-08-02 16:21:52,61.3614,63.5842,65.52,51,22,3.2
46,Ancud,CL,2022-08-02 16:21:53,-41.8697,-73.8203,47.23,75,98,3.47
47,Yar-Sale,RU,2022-08-02 16:21:55,66.8333,70.8333,62.11,60,12,7.07
48,Port Alfred,ZA,2022-08-02 16:21:55,-33.5906,26.891,60.19,75,73,7.14
49,Khandyga,RU,2022-08-02 16:21:55,62.6667,135.6,62.37,97,99,4.43
50,Auki,SB,2022-08-02 16:21:56,-8.7676,160.7034,76.44,88,82,4.94
51,Broome,US,2022-08-02 16:21:56,42.2506,-75.833,84.61,61,40,6.91
52,Manati,PR,2022-08-02 16:21:56,18.4275,-66.4921,91.18,76,10,16.75
53,Hofn,IS,2022-08-02 16:21:57,64.2539,-15.2082,50.04,72,25,15.12
54,Birao,CF,2022-08-02 16:21:57,10.2849,22.7882,78.31,82,70,3.22
55,Pevek,RU,2022-08-02 16:21:57,69.7008,170.3133,38.1,97,100,5.55
56,Beringovskiy,RU,2022-08-02 16:21:57,63.05,179.3167,53.71,67,74,7.56
57,Chokurdakh,RU,2022-08-02 16:19:32,70.6333,147.9167,52.66,69,100,4.12
58,Bilma,NE,2022-08-02 16:21:58,18.6853,12.9164,100.0,26,70,9.46
59,Puerto Ayora,EC,2022-08-02 16:21:58,-0.7393,-90.3518,75.16,82,79,11.99
60,Nikolskoye,RU,2022-08-02 16:21:58,59.7035,30.7861,69.69,72,55,4.21
61,Suluq,LY,2022-08-02 16:21:59,31.6682,20.2521,86.56,42,0,20.04
62,Hervey Bay,AU,2022-08-02 16:21:59,-25.2986,152.8535,59.02,92,14,3.0
63,Luderitz,NA,2022-08-02 16:21:59,-26.6481,15.1594,56.55,72,0,3.4
64,Udachnyy,RU,2022-08-02 16:22:00,66.4167,112.4,46.45,100,100,16.78
65,Khatanga,RU,2022-08-02 16:22:00,71.9667,102.5,44.17,69,100,5.73
66,Cape Town,ZA,2022-08-02 16:18:09,-33.9258,18.4232,60.12,85,0,9.22
67,Paka,MY,2022-08-02 16:22:00,4.6374,103.4368,75.13,100,86,0.0
68,Herat,AF,2022-08-02 16:20:22,34.5,62.0,80.91,25,0,25.66
69,Redmond,US,2022-08-02 16:22:01,47.674,-122.1215,65.53,81,55,8.99
70,Pacific Grove,US,2022-08-02 16:22:01,36.6177,-121.9166,71.42,86,0,5.99
71,Barrow,US,2022-08-02 16:21:35,71.2906,-156.7887,38.8,73,40,13.0
72,Mataura,NZ,2022-08-02 16:22:01,-46.1927,168.8643,44.47,82,69,8.81
73,Barcelos,PT,2022-08-02 16:22:01,41.5388,-8.6151,89.92,48,7,6.51
74,Mar Del Plata,AR,2022-08-02 16:22:00,-38.0023,-57.5575,53.94,90,100,15.99
75,Gat,IL,2022-08-02 16:18:01,31.61,34.7642,88.39,100,10,8.32
76,New Norfolk,AU,2022-08-02 16:22:02,-42.7826,147.0587,55.92,70,100,1.01
77,Victoria,HK,2022-08-02 16:21:03,22.2855,114.1577,84.38,80,100,11.01
78,Dikson,RU,2022-08-02 16:22:02,73.5069,80.5464,42.15,87,44,5.97
79,Alekseyevsk,RU,2022-08-02 16:22:02,57.8406,108.3492,66.34,92,98,3.15
80,Port Augusta,AU,2022-08-02 16:22:03,-32.5,137.7667,55.24,87,68,8.7
81,Juneau,US,2022-08-02 16:19:54,58.3019,-134.4197,56.21,99,100,11.5
82,Salamiyah,SY,2022-08-02 16:22:03,35.0113,37.0532,90.01,31,0,16.08
83,Champerico,GT,2022-08-02 16:22:03,14.3,-91.9167,88.34,70,16,1.92
84,Ligayan,PH,2022-08-02 16:22:04,4.6533,119.4706,83.12,75,92,7.14
85,Isangel,VU,2022-08-02 16:22:04,-19.55,169.2667,75.54,91,100,9.69
86,Nanortalik,GL,2022-08-02 16:22:04,60.1432,-45.2371,47.93,77,98,12.41
87,Da Nang,VN,2022-08-02 16:22:05,16.0678,108.2208,78.78,83,20,3.44
88,Itacare,BR,2022-08-02 16:22:05,-14.2775,-38.9967,78.08,64,32,6.85
89,Hailar,CN,2022-08-02 16:22:05,49.2,119.7,69.53,67,65,8.75
90,Soe,ID,2022-08-02 16:22:06,-9.8607,124.284,60.98,91,90,5.44
91,Komsomolskiy,UZ,2022-08-02 16:22:06,40.4272,71.7189,79.52,31,94,18.41
92,Laguna,US,2022-08-02 16:22:06,38.421,-121.4238,85.32,64,0,1.01
93,Saint-Gaudens,FR,2022-08-02 16:22:06,43.0833,0.6667,94.93,20,0,4.23
94,Bluff,NZ,2022-08-02 16:22:07,-46.6,168.3333,44.8,79,59,29.17
95,Bundaberg,AU,2022-08-02 16:22:07,-24.85,152.35,56.21,99,25,5.01
96,Javanrud,IR,2022-08-02 16:22:09,34.7961,46.5172,87.6,15,0,9.33
97,Yellowknife,CA,2022-08-02 16:22:10,62.456,-114.3525,63.12,45,20,5.75
98,Mahebourg,MU,2022-08-02 16:22:10,-20.4081,57.7,70.09,68,20,6.91
99,Ternate,ID,2022-08-02 16:22:10,0.8,127.4,79.54,80,80,2.13
100,Diego De Almagro,CL,2022-08-02 16:22:10,-26.3667,-70.05,62.96,39,0,5.48
101,Sonoita,MX,2022-08-02 16:22:11,31.85,-112.8333,87.57,49,49,4.94
102,Aksu,CN,2022-08-02 16:22:11,41.1231,80.2644,80.89,37,21,3.83
103,Taltal,CL,2022-08-02 16:22:11,-25.4,-70.4833,58.95,72,25,4.63
104,Tuatapere,NZ,2022-08-02 16:22:12,-46.1333,167.6833,46.81,84,55,11.79
105,Yamada,JP,2022-08-02 16:23:06,39.4667,141.95,71.56,97,100,2.95
106,Prince Rupert,CA,2022-08-02 16:20:07,54.3161,-130.3201,56.89,98,100,12.66
107,Shimoda,JP,2022-08-02 16:23:06,34.6667,138.95,80.1,91,100,10.0
108,Atocha,BO,2022-08-02 16:23:06,-20.9333,-66.2333,52.75,9,0,14.32
109,Sao Felix Do Xingu,BR,2022-08-02 16:19:54,-6.6447,-51.995,96.33,30,80,5.59
110,Akyab,MM,2022-08-02 16:23:07,20.15,92.9,82.62,82,100,2.13
111,Coahuayana,MX,2022-08-02 16:23:07,18.7333,-103.6833,87.6,64,85,0.85
112,Longyearbyen,SJ,2022-08-02 16:21:43,78.2186,15.6401,55.24,71,75,6.91
113,Vieste,IT,2022-08-02 16:23:07,41.8825,16.175,83.07,58,22,12.48
114,Plettenberg Bay,ZA,2022-08-02 16:20:25,-34.0527,23.3716,58.68,53,96,2.57
115,San Rafael,AR,2022-08-02 16:23:08,-34.6177,-68.3301,57.87,33,0,11.77
116,Kaitangata,NZ,2022-08-02 16:23:08,-46.2817,169.8464,47.5,82,76,14.72
117,Geraldton,AU,2022-08-02 16:23:08,-28.7667,114.6,59.41,94,100,20.71
118,Padang,ID,2022-08-02 16:23:09,-0.9492,100.3543,77.09,88,100,3.51
